Year;Bezirk;Population;altitude;CumSum;PercentPop;CumPercentPop
2011;Rust;1896;123.0;1896;0.00018346653042147952;0.00018346653042147952
2011;Neusiedl_am_See;55337;133.0;57233;0.005354687444057707;0.005538153974479186
2011;Vienna;1714227;150.876;1771460;0.1658772574076063;0.1714154113820855
2011;Bruck_an_der_Leitha;92808;156.0;1864268;0.008980570546074193;0.1803959819281597
2011;Gänserndorf;95841;167.0;1960109;0.009274058935719946;0.18967004086387965
2011;Korneuburg;85559;168.0;2045668;0.008279120715364645;0.19794916157924428
2011;Tulln;96791;180.0;2142459;0.009365985731026068;0.20731514731027034
2011;Eisenstadt;13101;182.0;2155560;0.0012677188897952548;0.2085828662000656
2011;Eisenstadt;13101;182.0;2168661;0.0012677188897952548;0.20985058508986087
2011;Eisenstadt;40936;182.0;2209597;0.003961173992264602;0.21381175908212546
2011;Eisenstadt;40936;182.0;2250533;0.003961173992264602;0.21777293307439008
2011;Mistelbach;73962;190.0;2324495;0.007156936457296133;0.2249298695316862
2011;Krems_an_der_Donau;24032;202.9968;2348527;0.002325457626101791;0.22725532715778798
2011;Melk;76344;213.0;2424871;0.007387430800895271;0.23464275795868325
2011;Güssing;26624;229.0;2451495;0.0025762726297159657;0.23721903058839922
2011;Baden;139039;230.0;2590534;0.013454115465860807;0.25067314605426005
2011;Hollabrunn;50301;236.0;2640835;0.004867378663887575;0.2555405247181476
2011;Jennersdorf;17573;242.0;2658408;0.0017004521830678585;0.25724097690121545
2011;Oberpullendorf;37583;243.0;2695991;0.00363672078735784;0.26087769768857333
2011;Mödling;114086;246.0;2810077;0.011039537230835924;0.2719172349194092
2011;Perg;65738;250.0;2875815;0.0063611407050881965;0.2782783756244974
2011;Mattersburg;39050;258.0;2914865;0.003778675112320029;0.28205705073681747
2011;Wiener_Neustadt;75064;265.0;2989929;0.007263571539851233;0.2893206222766687
2011;Wiener_Neustadt;75064;265.0;3064993;0.007263571539851233;0.2965841938165199
2011;Wiener_Neustadt;41305;265.0;3106298;0.003996880294862453;0.30058107411138235
2011;Wiener_Neustadt;41305;265.0;3147603;0.003996880294862453;0.30457795440624486
2011;Linz;139116;266.0;3286719;0.013461566374532987;0.3180395207807778
2011;Linz;139116;266.0;3425835;0.013461566374532987;0.3315010871553108
2011;Linz;189889;266.0;3615724;0.01837461814093055;0.34987570529624135
2011;Linz;189889;266.0;3805613;0.01837461814093055;0.3682503234371719
2011;Sankt_Pölten;125438;267.0;3931051;0.012138014052220225;0.38038833748939216
2011;Sankt_Pölten;125438;267.0;4056489;0.012138014052220225;0.39252635154161236
2011;Sankt_Pölten;51955;267.0;4108444;0.0050274280527679155;0.39755377959438026
2011;Sankt_Pölten;51955;267.0;4160399;0.0050274280527679155;0.40258120764714816
2011;Eferding;31741;271.0;4192140;0.003071419378749041;0.4056526270258972
2011;Amstetten;112355;275.0;4304495;0.010872036933283402;0.41652466395918064
2011;Leibnitz;79462;275.0;4383957;0.007689144219594729;0.42421380817877535
2011;Hartberg-Fürstenfeld;90117;276.0;4474074;0.008720175802738645;0.432933983981514
2011;Steyr;38205;310.0;4512279;0.0036969086470214265;0.43663089262853544
2011;Steyr;58700;310.0;4570979;0.005680108299441375;0.4423110009279768
2011;Steyr;38205;310.0;4609184;0.0036969086470214265;0.44600790957499825
2011;Steyr;58700;310.0;4667884;0.005680108299441375;0.45168801787443963
2011;Horn;31429;311.0;4699313;0.003041228683869557;0.45472924655830915
2011;Schärding;56426;313.0;4755739;0.005460064580992829;0.460189311139302
2011;Oberwart;53585;315.0;4809324;0.005185155080503681;0.46537446621980566
2011;Wels;67945;317.0;4877269;0.006574701165341469;0.47194916738514714
2011;Wels;67945;317.0;4945214;0.006574701165341469;0.4785238685504886
2011;Wels;58591;317.0;5003805;0.005669560909243094;0.4841934294597317
2011;Wels;58591;317.0;5062396;0.005669560909243094;0.4898629903689748
2011;Grieskirchen;62555;335.0;5124951;0.006053137558288846;0.49591612792726364
2011;Scheibbs;41020;339.0;5165971;0.003969302256270617;0.49988543018353426
2011;Braunau_am_Inn;97826;352.0;5263797;0.009466137555385895;0.5093515677389202
2011;Graz;143248;353.0;5407045;0.01386139955159077;0.5232129672905109
2011;Graz;143248;353.0;5550293;0.01386139955159077;0.5370743668421017
2011;Graz;261726;353.0;5812019;0.025325928871884045;0.5624002957139858
2011;Graz;261726;353.0;6073745;0.025325928871884045;0.5877262245858698
2011;Waidhofen_an_der_Ybbs;11455;356.0;6085200;0.0011084436212964387;0.5888346682071662
2011;Neunkirchen;85460;371.0;6170660;0.00826954097564327;0.5971042091828095
2011;Deutschlandsberg;60689;372.0;6231349;0.005872573979298086;0.6029767831621076
2011;Lilienfeld;26369;383.0;6257718;0.0025515975425548488;0.6055283807046624
2011;Voitsberg;52063;394.0;6309781;0.005037878677918506;0.6105662593825809
2011;Salzburg;145270;424.0;6455051;0.014057058478021271;0.6246233178606022
2011;Salzburg;143081;424.0;6598132;0.01384523978862643;0.6384685576492286
2011;Salzburg;143081;424.0;6741213;0.01384523978862643;0.6523137974378551
2011;Salzburg;145270;424.0;6886483;0.014057058478021271;0.6663708559158763
2011;Gmunden;99403;425.0;6985886;0.009618736035594055;0.6759895919514703
2011;Bregenz;126930;427.0;7112816;0.012282387503374681;0.6882719794548451
2011;Ried_im_Innkreis;58553;433.0;7171369;0.0056658838374308495;0.6939378632922759
2011;Vöcklabruck;130316;433.0;7301685;0.012610033954855234;0.7065478972471312
2011;Dornbirn;82386;437.0;7384071;0.0079720852190422;0.7145199824661733
2011;Klagenfurt;58499;446.0;7442570;0.005660658524855554;0.720180640991029
2011;Klagenfurt;58499;446.0;7501069;0.005660658524855554;0.7258412995158845
2011;Klagenfurt;94483;446.0;7595552;0.009142652000956038;0.7349839515168405
2011;Klagenfurt;94483;446.0;7690035;0.009142652000956038;0.7441266035177966
2011;Hallein;57651;447.0;7747686;0.005578601764413879;0.7497052052822104
2011;Kirchdorf_an_der_Krems;55557;450.0;7803243;0.005375975754549651;0.75508118103676
2011;Feldkirch;100099;458.0;7903342;0.00968608450878675;0.7647672655455469
2011;Völkermarkt;42237;462.0;7945579;0.0040870653193101425;0.768854330864857
2011;Wolfsberg;54024;463.0;7999603;0.005227634936439878;0.7740819658012968
2011;Weiz;87773;479.0;8087376;0.008493358530951753;0.7825753243322486
2011;Sankt_Veit_an_der_Glan;56061;482.0;8143437;0.00542474533858574;0.7880000696708344
2011;Gmünd;37761;485.0;8181198;0.0036539449658467764;0.7916540146366811
2011;Bruck-Mürzzuschlag;101979;491.0;8283177;0.009868002798445179;0.8015220174351263
2011;Kufstein;101047;499.0;8384224;0.00977781777399749;0.8112998352091237
2011;Villach;64499;501.0;8448723;0.006241248810999476;0.8175410840201233
2011;Villach;64499;501.0;8513222;0.006241248810999476;0.8237823328311228
2011;Villach;59324;501.0;8572546;0.005740489689200343;0.829522822520323
2011;Villach;59324;501.0;8631870;0.005740489689200343;0.8352633122095234
2011;Waidhofen_an_der_Thaya;26738;510.0;8658608;0.0025873038451527;0.8378506160546761
2011;Zwettl;43707;520.0;8702315;0.004229309939415404;0.8420799259940915
2011;Leoben;61912;541.0;8764227;0.005990917632623756;0.8480708436267153
2011;Schwaz;79103;545.0;8843330;0.007654405567473784;0.855725249194189
2011;Feldkirchen;30285;554.0;8873615;0.002930529469311449;0.8586557786635005
2011;Freistadt;65113;560.0;8938728;0.006300662550281538;0.864956441213782
2011;Spittal_an_der_Drau;78043;560.0;9016771;0.007551834616921691;0.8725082758307038
2011;Sankt_Johann_im_Pongau;78138;565.0;9094909;0.007561027296452303;0.880069303127156
2011;Innsbruck;119617;574.0;9214526;0.01157474470961293;0.891644047836769
2011;Innsbruck;119617;574.0;9334143;0.01157474470961293;0.9032187925463819
2011;Innsbruck;166762;574.0;9500905;0.0161367328829888;0.9193555254293707
2011;Innsbruck;166762;574.0;9667667;0.0161367328829888;0.9354922583123595
2011;Bludenz;61025;588.0;9728692;0.005905087035322145;0.9413973453476816
2011;Hermagor;18718;602.0;9747410;0.001811248162673657;0.9432085935103554
2011;Rohrbach;56170;605.0;9803580;0.005435292728784021;0.9486438862391393
2011;Liezen;80144;664.0;9883724;0.007755137982119754;0.9563990242212591
2011;Lienz;49319;673.0;9933043;0.004772355387055353;0.9611713796083144
2011;Murtal;73684;737.0;10006727;0.007130035774038131;0.9683014153823526
2011;Zell_am_See;84424;750.0;10091151;0.008169292386235753;0.9764707077685884
2011;Kitzbühel;61705;762.0;10152856;0.00597088726775179;0.9824415950363401
2011;Landeck;43591;816.0;10196447;0.004218085193883288;0.9866596802302234
2011;Imst;56557;827.0;10253004;0.005472740802240305;0.9921324210324637
2011;Murau;29186;829.0;10282190;0.0028241846818994206;0.9949566057143632
2011;Reutte;31618;853.0;10313808;0.0030595172778830905;0.9980161229922462
2011;Tamsweg;20502;1022.0;10334310;0.001983877007753783;1.0
